PurchaserState,DateSold,NumMonthsRev,units
Michigan,2003-01-01 00:00:00.000,1,487
Michigan,2003-02-01 00:00:00.000,2,986
Michigan,2003-03-01 00:00:00.000,3,1945
Michigan,2003-04-01 00:00:00.000,4,2143
Michigan,2003-05-01 00:00:00.000,5,2340
Michigan,2003-06-01 00:00:00.000,6,2955
Michigan,2003-07-01 00:00:00.000,7,2146
Michigan,2003-08-01 00:00:00.000,8,1426
Michigan,2003-09-01 00:00:00.000,9,1564
Michigan,2003-10-01 00:00:00.000,10,1125
Michigan,2003-11-01 00:00:00.000,11,636
Michigan,2003-12-01 00:00:00.000,12,271
Michigan,2004-01-01 00:00:00.000,13,466
Michigan,2004-02-01 00:00:00.000,14,1350
Michigan,2004-03-01 00:00:00.000,15,2292
Michigan,2004-04-01 00:00:00.000,16,2112
Michigan,2004-05-01 00:00:00.000,17,2527
Michigan,2004-06-01 00:00:00.000,18,2445
Michigan,2004-07-01 00:00:00.000,19,1979
Michigan,2004-08-01 00:00:00.000,20,1517
Michigan,2004-09-01 00:00:00.000,21,1249
Michigan,2004-10-01 00:00:00.000,22,713
Michigan,2004-11-01 00:00:00.000,23,453
Michigan,2004-12-01 00:00:00.000,24,297
Michigan,2005-01-01 00:00:00.000,25,591
Michigan,2005-02-01 00:00:00.000,26,1042
Michigan,2005-03-01 00:00:00.000,27,2067
Michigan,2005-04-01 00:00:00.000,28,1844
Michigan,2005-05-01 00:00:00.000,29,2358
Michigan,2005-06-01 00:00:00.000,30,1829
Michigan,2005-07-01 00:00:00.000,31,1933
Michigan,2005-08-01 00:00:00.000,32,1068
Michigan,2005-09-01 00:00:00.000,33,928
Michigan,2005-10-01 00:00:00.000,34,446
Michigan,2005-11-01 00:00:00.000,35,213
Michigan,2005-12-01 00:00:00.000,36,199
Michigan,2006-01-01 00:00:00.000,37,484
Michigan,2006-02-01 00:00:00.000,38,923
Michigan,2006-03-01 00:00:00.000,39,1357
Michigan,2006-04-01 00:00:00.000,40,1255
Michigan,2006-05-01 00:00:00.000,41,1495
Michigan,2006-06-01 00:00:00.000,42,1548
Michigan,2006-07-01 00:00:00.000,43,1449
Michigan,2006-08-01 00:00:00.000,44,1135
Michigan,2006-09-01 00:00:00.000,45,1037
Michigan,2006-10-01 00:00:00.000,46,737
Michigan,2006-11-01 00:00:00.000,47,408
Michigan,2006-12-01 00:00:00.000,48,258
Michigan,2007-01-01 00:00:00.000,49,421
Michigan,2007-02-01 00:00:00.000,50,625
Michigan,2007-03-01 00:00:00.000,51,1176
Michigan,2007-04-01 00:00:00.000,52,1261
Michigan,2007-05-01 00:00:00.000,53,1711
Michigan,2007-06-01 00:00:00.000,54,1348
Michigan,2007-07-01 00:00:00.000,55,1392
Michigan,2007-08-01 00:00:00.000,56,1318
Michigan,2007-09-01 00:00:00.000,57,1018
Michigan,2007-10-01 00:00:00.000,58,771
Michigan,2007-11-01 00:00:00.000,59,409
Michigan,2007-12-01 00:00:00.000,60,226
Michigan,2008-01-01 00:00:00.000,61,399
Michigan,2008-02-01 00:00:00.000,62,576
Michigan,2008-03-01 00:00:00.000,63,787
Michigan,2008-04-01 00:00:00.000,64,1098
Michigan,2008-05-01 00:00:00.000,65,1530
Michigan,2008-06-01 00:00:00.000,66,1197
Michigan,2008-07-01 00:00:00.000,67,1233
Michigan,2008-08-01 00:00:00.000,68,967
Michigan,2008-09-01 00:00:00.000,69,734
Michigan,2008-10-01 00:00:00.000,70,552
Michigan,2008-11-01 00:00:00.000,71,226
Michigan,2008-12-01 00:00:00.000,72,110
Michigan,2009-01-01 00:00:00.000,73,140
Michigan,2009-02-01 00:00:00.000,74,415
Michigan,2009-03-01 00:00:00.000,75,576
